reviews,cleaned_review,sentiment,sentiment_category,categories
Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,    i reported my damagedruined suitcase  weeks ago and im still awaiting a reply ill think twice about booking with ba again as the customer service is shocking to say the least ive followed up with british airways with at least  emails per week requesting an update but with no joy so far,-0.34285714285714286,Negative,"['Customer Service', 'Specific Service Issues']"
"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",  flight cancelled with no reason given less than  h before departure the earliest offered replacement on their terrible to use app was  days later which was unacceptable their phone lines do not work and would reject your call due to being overwhelmed even submitting a claim on their website is frustrating due to their terrible interface overall terrible company with wholly inadequate customer service,-0.4240740740740741,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",   flight delayed an hour due to bad weather around jfk however this was made up during the flight only to be delayed again by weather over lhr spending an extra hour in the americanba lounge at jfk was not ideal cold environment cold staff indifferent to the travellers needs one area was exceptionally dirty with plates on the tables and napkins strewn on the floor waited for a drink as no one to serve played a game of find the chipscrisps  which were hidden on a table in a dark corner in one of the  areas this is a crazy expensive route in business class and it feels like a rip off across all the airlines however the quality of bas business class has much improved with the introduction of the suites the privacy is a big improvement as too is the seat comfort and i managed a good hr sleep on the overnight redeye flight food service was very efficient for those that wanted it and did the trick so late at night aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant unfortunately i didnt catch his name but he was superb being responsive to the few requests i made and remembered my name throughout the flight a small but very valued touch that is often missing with business class flight attendants on ba very good experience all round except the price which is reflected in my value for money rating,-0.10299999999999997,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"Not Verified |  We had a Premium Economy return flight Los Angeles to London. The outbound flight was cancelled with under 12 hours notice, and we had to instead take an economy flight via Dublin to London. That's annoying but it happens. What is really difficult to understand is BA's response since I raised this as a claim once our return flight had completed (as I was instructed to do). It is now nearly 5 months and there has been no response other than one in early March with the title ""we've not forgotten your case"" and ""We're really sorry you're still waiting for a response from us. We know it's been a long time since you contacted us and this isn't the service you should expect. Rest assured we've not forgotten your case. Our Customer Relations team are working extremely hard to respond to you as soon as possible. Thank you for your continued patience. You can check the status of your case here. Please accept our most sincere apologies. We look forward to speaking with you soon."" I called about a month ago to enquire and was told i'd be hearing within the week. This is just extremely poor customer service, in addition to the inconvenience and stress of the late-cancelled flight, delays and change in class of flight. British Airways really seems to be on the decline, i have so many friends who are long-time customers like us who are having flights cancelled or delayed with little commitment to make it right. I have been a member of their Flying Club for 20 years, is this how you treat loyal customers BA?",   we had a premium economy return flight los angeles to london the outbound flight was cancelled with under  hours notice and we had to instead take an economy flight via dublin to london thats annoying but it happens what is really difficult to understand is bas response since i raised this as a claim once our return flight had completed as i was instructed to do it is now nearly  months and there has been no response other than one in early march with the title weve not forgotten your case and were really sorry youre still waiting for a response from us we know its been a long time since you contacted us and this isnt the service you should expect rest assured weve not forgotten your case our customer relations team are working extremely hard to respond to you as soon as possible thank you for your continued patience you can check the status of your case here please accept our most sincere apologies we look forward to speaking with you soon i called about a month ago to enquire and was told id be hearing within the week this is just extremely poor customer service in addition to the inconvenience and stress of the latecancelled flight delays and change in class of flight british airways really seems to be on the decline i have so many friends who are longtime customers like us who are having flights cancelled or delayed with little commitment to make it right i have been a member of their flying club for  years is this how you treat loyal customers ba,-0.018617724867724852,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced.",  we have flown with british airways a few times but this last trip was by far the worst experience we werent able to check in online because the system wouldnt accept any of our passport info so we had to wait to check in upon arrival at the airport we arrived two hours before our scheduled departure the line was backed up with only  stations being staffed where there was room for at least  more attendants to help expedite check in we talked to a few people in line and they too were unable to check in online it took the desk attendants an hour to check in the people ahead of us we told the agent we had tried to check in online but it wouldnt accept our passports she replied it was because they need to verify each passport personally i asked that wouldnt they verify them that way anyway i also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldnt secure them because we couldnt finish check in she went on to tell us its a full flight so we wouldnt be able to choose our seats we reached the gate and ask the agents there about moving to another section and she confirmed there was no availability during the flight the service was not what we expected based on previous flights we only saw the flight attendants during food service and twice to pickup trash every time i went to the lavatory there were at least  attendants standing around chatting instead of taking care of the passengers the attendants seemed uninterested and inexperienced even snapping at a confused passenger regarding their seat belt the flight attendants were disappointing to say the least no available air control vents above us so no option to have any air flow other than what the whole plane had upon landing we went to the baggage carousel to claim our bags an hour later still no bags finally a message came over the loudspeakers that the elevator on the plane was broken and the eta of the bags was still unknown about  minutes later the bags started to slowly appear on the belt overall this was the worst ba flight weve experienced,-0.05635964912280702,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
Not Verified |   I flew from Malaga via LHR to Boston on the 4th May 2024 and on arrival in Boston discovered my luggage was still in London. Filed a report and now 4 days later no sign of the luggage. The baggage customer service is a joke. Not interested in the clients or giving a good service. Updates are useless. I know my luggage has been sitting in Boston since the 5th as I have an air tag inside it. The airline seem to have no intention of getting my luggage to me. The robots on FB messenger & twitter are useless. I opened a complaint & when I checked the update of my complaint the case had been closed despite never been contacted by a human!! This airline is now a joke and if I ever get my luggage back I doubt I will ever fly with them again. They are now worse than Air Canada in my book and that is saying something.,    i flew from malaga via lhr to boston on the th may  and on arrival in boston discovered my luggage was still in london filed a report and now  days later no sign of the luggage the baggage customer service is a joke not interested in the clients or giving a good service updates are useless i know my luggage has been sitting in boston since the th as i have an air tag inside it the airline seem to have no intention of getting my luggage to me the robots on fb messenger  twitter are useless i opened a complaint  when i checked the update of my complaint the case had been closed despite never been contacted by a human this airline is now a joke and if i ever get my luggage back i doubt i will ever fly with them again they are now worse than air canada in my book and that is saying something,-0.06041666666666668,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
✅ Trip Verified |  I have never seen such disrespect to a customer. It was the 3rd time in 2 months that I was unable to do a check-in because of their website not working properly. Lost 2 hours on the phone with their customer service team. At the airport I was asked to check in my hand luggage because they had no more space in the cabin. I could not recline my seat and the staff was rude and unhelpful to me. The wifi was also not working. I made multiple complaints and no one ever even contacted me. Never using them again!,   i have never seen such disrespect to a customer it was the rd time in  months that i was unable to do a checkin because of their website not working properly lost  hours on the phone with their customer service team at the airport i was asked to check in my hand luggage because they had no more space in the cabin i could not recline my seat and the staff was rude and unhelpful to me the wifi was also not working i made multiple complaints and no one ever even contacted me never using them again,-0.17500000000000002,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  We booked premium economy round trip from Phoenix to Zurich via AA codeshare and operated by British Airway. On our way return flight back to Phoenix February 25th, the first leg of the BA flight 0773 between Zurich and London Heathrow was delayed departure, which cause us missed the BA 0289 connection flight between Heathrow and Phoenix. First problem is that when we dash to the terminal 5 security check point at 12:00 PM, the airplane was still at gate and will not depart until 2:25 PM if it will be on schedule, we had almost 30 min at that point, however the terminal 5 security stopped us and was told we cannot pass thru the security due to airline requirement, we later realized that flight 0289 did not leave until 3:30 PM. We were directed to the customer service to re-book the flight. When we got to BA customer service transfer counter, there was only one agent available, there were least 12 passengers waiting in the lines, we were told BA was short of staffs due to British holiday during end of February and there was a soccer championship match that Sunday, so it took us at least an hour and half to rebook the same flight next day, also it seems there are not much option at all if we want to back to Phoenix on different flight on the same day. Then, the agent who re-booked the flight told us his printer was broken and we need go to Zone 2 of terminal 5 to get the ticket and hotel voucher printed. We found Zone 2 and had our ticket and voucher in hand and assure by the agent that our luggage will be on our next day flight with us as well. We also told there was a shuttle bus around the corner to take us to the hotel, however no map or detail direction provided, it took us a while to find out that the shuttle is at back side of the terminal 5, by the time we arrived at hotel we were very tired. Next day, we arrived at airport few hours ahead our scheduled departed time 2:25 PM, I noticed my checked two bags not in the same spot based on my iPhone’s Find me feature (I had Apple Air Tag in each of my checked bags), so I checked with the gate agent, she confirmed with me that only one checked bag was associated with my flight! Luckily, the flight was delayed two hours, so my other bag made to the same flight. While on the flight, the team of young flight attendants were generally pleasant, but they missed to service me meal, I did not order any special meal, and the popular chicken dish was not available when she came to my row, so I told her any chicken dish will be ok, and she told me give her few minutes and she will bring me a different chicken dish, however she totally forgot that and only when she came back to collect the trash, I mentioned to her she forgot my chicken dish, she was surprised and acting like I was lying to her. Overall, I think my premium economy flight on BA is the worst experience in recent memory. As the British flagship carrier, they seem don't care, I emailed my sent my experience to their customer service, they responded with a standard corporate reply from one of their email templates...",   we booked premium economy round trip from phoenix to zurich via aa codeshare and operated by british airway on our way return flight back to phoenix february th the first leg of the ba flight  between zurich and london heathrow was delayed departure which cause us missed the ba  connection flight between heathrow and phoenix first problem is that when we dash to the terminal  security check point at  pm the airplane was still at gate and will not depart until  pm if it will be on schedule we had almost  min at that point however the terminal  security stopped us and was told we cannot pass thru the security due to airline requirement we later realized that flight  did not leave until  pm we were directed to the customer service to rebook the flight when we got to ba customer service transfer counter there was only one agent available there were least  passengers waiting in the lines we were told ba was short of staffs due to british holiday during end of february and there was a soccer championship match that sunday so it took us at least an hour and half to rebook the same flight next day also it seems there are not much option at all if we want to back to phoenix on different flight on the same day then the agent who rebooked the flight told us his printer was broken and we need go to zone  of terminal  to get the ticket and hotel voucher printed we found zone  and had our ticket and voucher in hand and assure by the agent that our luggage will be on our next day flight with us as well we also told there was a shuttle bus around the corner to take us to the hotel however no map or detail direction provided it took us a while to find out that the shuttle is at back side of the terminal  by the time we arrived at hotel we were very tired next day we arrived at airport few hours ahead our scheduled departed time  pm i noticed my checked two bags not in the same spot based on my iphone’s find me feature i had apple air tag in each of my checked bags so i checked with the gate agent she confirmed with me that only one checked bag was associated with my flight luckily the flight was delayed two hours so my other bag made to the same flight while on the flight the team of young flight attendants were generally pleasant but they missed to service me meal i did not order any special meal and the popular chicken dish was not available when she came to my row so i told her any chicken dish will be ok and she told me give her few minutes and she will bring me a different chicken dish however she totally forgot that and only when she came back to collect the trash i mentioned to her she forgot my chicken dish she was surprised and acting like i was lying to her overall i think my premium economy flight on ba is the worst experience in recent memory as the british flagship carrier they seem dont care i emailed my sent my experience to their customer service they responded with a standard corporate reply from one of their email templates,-0.04174744897959183,Negative,"['Customer Service', 'Staffing Levels', 'Signage and Navigation', 'Specific Service Issues']"
Not Verified |   British Airways cancelled my flight less than 24 hours before. Automatically rebooked it for 2 days later. I called customer service 3 times trying to change it and they would Not help. My daughter was flying on a different reservation and because I am legally blind I needed to be on the same flight - they didn’t care nor would they help. We eventually bought new tickets on easyJet. When we arrive home I entered a complaint to get my fare refunded. It took them 4 months and then the response was it was cancelled because of a strike in Spain so they won’t refund it. EasyJet didn’t cancel. The whole experience was awful and so disappointing.,    british airways cancelled my flight less than  hours before automatically rebooked it for  days later i called customer service  times trying to change it and they would not help my daughter was flying on a different reservation and because i am legally blind i needed to be on the same flight  they didn’t care nor would they help we eventually bought new tickets on easyjet when we arrive home i entered a complaint to get my fare refunded it took them  months and then the response was it was cancelled because of a strike in spain so they won’t refund it easyjet didn’t cancel the whole experience was awful and so disappointing,-0.20275482093663913,Negative,"['Customer Service', 'Specific Service Issues']"
"✅ Trip Verified |  Flew business class from Doha to London on 31st March. The service was slow and unfriendly, even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where I was in to smile. I ordered waffles for breakfast and they looked like they’d fallen off the plate and had been thrown back on (see photo). The plate that the waffles were served on was so hot that when I moved the plate I burnt my finger. I wasn’t warned that it was ferociously hot. I was shocked at how bad the food presentation was, but didn’t feel comfortable saying anything to the cabin crew as she wasn’t approachable or friendly. For lunch, the bread roll was so dry and rock hard that I couldn’t cut through the ends. Not sure why the food and service was so bad on this flight as generally BA food is good and is well presented. Also, the Wi-Fi wasn’t working on the flight.",   flew business class from doha to london on st march the service was slow and unfriendly even one of the male cabin crew working in business class asked the female cabin crew who was looking after the area where i was in to smile i ordered waffles for breakfast and they looked like they’d fallen off the plate and had been thrown back on see photo the plate that the waffles were served on was so hot that when i moved the plate i burnt my finger i wasn’t warned that it was ferociously hot i was shocked at how bad the food presentation was but didn’t feel comfortable saying anything to the cabin crew as she wasn’t approachable or friendly for lunch the bread roll was so dry and rock hard that i couldn’t cut through the ends not sure why the food and service was so bad on this flight as generally ba food is good and is well presented also the wifi wasn’t working on the flight,-0.04019607843137254,Negative,"['Customer Service', 'Facilities', 'Specific Service Issues']"
