reviews,cleaned_review,sentiment,sentiment_category,categories
"✅ Trip Verified | If you can’t fly First Class don’t fly British Airways! VERY uncomfortable seats. You can’t even get out of your seat when the person in front has their seat reclined (and who doesn’t need to recline their seat!) You can’t pick up ANYTHING off the floor during the flight because you can’t bend to touch the floor - there isn’t enough space to! If you have long legs don’t think you are going to be comfortable - as soon as the person in front of you puts their chair back your knees WILL be CRUSHED! Terrible food, Terrible plane, Terrible air-hostesses, Terrible flight and unfortunately I have to fly back home with them.",  if you can’t fly first class don’t fly british airways very uncomfortable seats you can’t even get out of your seat when the person in front has their seat reclined and who doesn’t need to recline their seat you can’t pick up anything off the floor during the flight because you can’t bend to touch the floor  there isn’t enough space to if you have long legs don’t think you are going to be comfortable  as soon as the person in front of you puts their chair back your knees will be crushed terrible food terrible plane terrible airhostesses terrible flight and unfortunately i have to fly back home with them,-0.1323529411764706,Negative,"['Facilities', 'Staffing Levels']"
Not Verified |   Singapore to Heathrow. Business class on an A380-800 is a Premium Economy Plus experience. From the economy class sized toilets to the badly designed coffin shaped Business class pods - the experience is a substandard business class experience. Business class pod’s storage is a small drawer at the FOOT of the pod. The ‘privacy’ screens are opaque plastic sheets - so you are kept awake by your neighbour as their screen lights up your pod. When the seat is made into its coffin shaped bed - the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep. You have a choice of having your neighbour step over your calf-height footrest - hopefully not brushing your feet with theirs - or having to step over your neighbour's feet/footrest. With the footrest down - heaven-forbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position. If you are in the aisle seat - which is open to the aisle - kiss goodbye to any privacy as not only will you be on view to all passengers - the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen.,    singapore to heathrow business class on an a is a premium economy plus experience from the economy class sized toilets to the badly designed coffin shaped business class pods  the experience is a substandard business class experience business class pod’s storage is a small drawer at the foot of the pod the ‘privacy’ screens are opaque plastic sheets  so you are kept awake by your neighbour as their screen lights up your pod when the seat is made into its coffin shaped bed  the cold hard plastic seat moulds are an unpleasant surprise for those that turn in their sleep you have a choice of having your neighbour step over your calfheight footrest  hopefully not brushing your feet with theirs  or having to step over your neighbours feetfootrest with the footrest down  heavenforbid you try to lever yourself into a more comfortable position as the slightest pressure causes the footrest to collapse into its floor level position if you are in the aisle seat  which is open to the aisle  kiss goodbye to any privacy as not only will you be on view to all passengers  the crew will lean you to both serve your neighbour their food and talk to your neighbour over your privacy screen,-0.17472222222222217,Negative,['Facilities']
"✅ Trip Verified |  While BA may have made some positive improvements to its Club World product, its World Traveler product and catering leaves much to be desired. The first meal service was very slow, more than 3 hours to serve the meal. The portions were incredibly small - the chicken dish contained maybe 5 pieces of chicken, 2 pieces of broccoli, and a piece of unknown food. Small snacks were available during the flight, but the real let down was the snack before landing in Vancouver. It was a bizarre tasting chicken pastry wrap, which didn't have much chicken and did not taste at all like a pastry. It was too sweet, too mushy, and too salty. The seats, although not exactly spacious, were tolerable, although the aisles are very narrow, and cabin crew and other passengers frequently bumped into me while walking up and down the aisles. Cabin crew were generally responsive to passengers' request, and once or twice during the flight, came down the aisles with drinks. However, the poor level of catering made for a very frustrating trip. I certainly cannot recommend BA.",   while ba may have made some positive improvements to its club world product its world traveler product and catering leaves much to be desired the first meal service was very slow more than  hours to serve the meal the portions were incredibly small  the chicken dish contained maybe  pieces of chicken  pieces of broccoli and a piece of unknown food small snacks were available during the flight but the real let down was the snack before landing in vancouver it was a bizarre tasting chicken pastry wrap which didnt have much chicken and did not taste at all like a pastry it was too sweet too mushy and too salty the seats although not exactly spacious were tolerable although the aisles are very narrow and cabin crew and other passengers frequently bumped into me while walking up and down the aisles cabin crew were generally responsive to passengers request and once or twice during the flight came down the aisles with drinks however the poor level of catering made for a very frustrating trip i certainly cannot recommend ba,-0.08870771204104537,Negative,"['Facilities', 'Specific Service Issues']"
"✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",   flight delayed an hour due to bad weather around jfk however this was made up during the flight only to be delayed again by weather over lhr spending an extra hour in the americanba lounge at jfk was not ideal cold environment cold staff indifferent to the travellers needs one area was exceptionally dirty with plates on the tables and napkins strewn on the floor waited for a drink as no one to serve played a game of find the chipscrisps  which were hidden on a table in a dark corner in one of the  areas this is a crazy expensive route in business class and it feels like a rip off across all the airlines however the quality of bas business class has much improved with the introduction of the suites the privacy is a big improvement as too is the seat comfort and i managed a good hr sleep on the overnight redeye flight food service was very efficient for those that wanted it and did the trick so late at night aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant unfortunately i didnt catch his name but he was superb being responsive to the few requests i made and remembered my name throughout the flight a small but very valued touch that is often missing with business class flight attendants on ba very good experience all round except the price which is reflected in my value for money rating,-0.10299999999999997,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | I strongly advise everyone to never fly British Airways. I know we will never do so again. We had business class seats booked for an early morning flight from Heathrow to SF - and then the flight was cancelled the evening before the flight. We luckily checked email before we went to bed and found out it was canceled. We then called BA, and after waiting 30 minutes someone to answer the call, the person who finally did said he was going to move us to a United Air flight leaving an hour later from Heathrow to SF the next day. He told us the flight number and said he had booked us business class seats. It took a long time to get it all worked out, so we got just a few hours sleep that night, but it looked like it was resolved. Then, however, when we got to Heathrow early the next morning we found that the BA person did not complete the booking as needed and United could not give us seats. They said we needed to call BA to get them to complete the change. But despite numerous attempt we could not get anyone to answer the phone at BA. This went on for 2 hours. Finally, by the grace of god, after hours of stress trying to figure out what to do, we found a United ticket agent at the airport who personally called BA for us and got then to fix the problem. So, after being at Heathrow at 7 am, we ended up leaving for SF late that afternoon totally exhausted. The United air ticket agent saved us and allows us to get home. She also said these problems were common with BA. ",  i strongly advise everyone to never fly british airways i know we will never do so again we had business class seats booked for an early morning flight from heathrow to sf  and then the flight was cancelled the evening before the flight we luckily checked email before we went to bed and found out it was canceled we then called ba and after waiting  minutes someone to answer the call the person who finally did said he was going to move us to a united air flight leaving an hour later from heathrow to sf the next day he told us the flight number and said he had booked us business class seats it took a long time to get it all worked out so we got just a few hours sleep that night but it looked like it was resolved then however when we got to heathrow early the next morning we found that the ba person did not complete the booking as needed and united could not give us seats they said we needed to call ba to get them to complete the change but despite numerous attempt we could not get anyone to answer the phone at ba this went on for  hours finally by the grace of god after hours of stress trying to figure out what to do we found a united ticket agent at the airport who personally called ba for us and got then to fix the problem so after being at heathrow at  am we ended up leaving for sf late that afternoon totally exhausted the united air ticket agent saved us and allows us to get home she also said these problems were common with ba ,-0.03166666666666666,Negative,['Facilities']
"✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced.",  we have flown with british airways a few times but this last trip was by far the worst experience we werent able to check in online because the system wouldnt accept any of our passport info so we had to wait to check in upon arrival at the airport we arrived two hours before our scheduled departure the line was backed up with only  stations being staffed where there was room for at least  more attendants to help expedite check in we talked to a few people in line and they too were unable to check in online it took the desk attendants an hour to check in the people ahead of us we told the agent we had tried to check in online but it wouldnt accept our passports she replied it was because they need to verify each passport personally i asked that wouldnt they verify them that way anyway i also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldnt secure them because we couldnt finish check in she went on to tell us its a full flight so we wouldnt be able to choose our seats we reached the gate and ask the agents there about moving to another section and she confirmed there was no availability during the flight the service was not what we expected based on previous flights we only saw the flight attendants during food service and twice to pickup trash every time i went to the lavatory there were at least  attendants standing around chatting instead of taking care of the passengers the attendants seemed uninterested and inexperienced even snapping at a confused passenger regarding their seat belt the flight attendants were disappointing to say the least no available air control vents above us so no option to have any air flow other than what the whole plane had upon landing we went to the baggage carousel to claim our bags an hour later still no bags finally a message came over the loudspeakers that the elevator on the plane was broken and the eta of the bags was still unknown about  minutes later the bags started to slowly appear on the belt overall this was the worst ba flight weve experienced,-0.05635964912280702,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  A premium price for a sub-par product - flew BA (031/032) LHR and HKG and return in May. We had originally booked when the aircraft was allocated the club suites - paid for seat selection. A couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. We had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. The hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. Additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. The planes on both legs of the journey were tired and shabby. The crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. The outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. The catering inbound was very poor. The welcome ‘champagne’ was truly awful. This is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. The lounge at Heathrow on the outbound sector was packed to the rafters and was a poor experience. Very disappointing.",   a premium price for a subpar product  flew ba  lhr and hkg and return in may we had originally booked when the aircraft was allocated the club suites  paid for seat selection a couple of months prior to the trip the aircraft was changed to the  layout with the yinyang seat configuration we had been allocated  of the  middle seats so paid again to select the window and aisle the hard product is poor  the seat space lacks any form of storage that remains accessible when the seat is in the flat position  nowhere to put specs a book or phone additionally the window seat passenger has to climb over the feet of another passenger to use the toilet etc  really poor layout the planes on both legs of the journey were tired and shabby the crew on the outward journey were enthusiastic and helpful  the return crew seemed less adept at managing the service the outbound catering was acceptable  but the presentation on tiny plates does not compare favourably with competitors the catering inbound was very poor the welcome ‘champagne’ was truly awful this is a poor product at a premium price  and sad to say this pair of selffunding passengers won’t choose to repeat the experience the lounge at heathrow on the outbound sector was packed to the rafters and was a poor experience very disappointing,-0.1222222222222222,Negative,"['Facilities', 'Specific Service Issues']"
✅ Trip Verified |  Really terrible user experience. British Airways website is full of glitches. I can't even choose my own seat due to cookie problems. Never had this problem with any other airlines. ,   really terrible user experience british airways website is full of glitches i cant even choose my own seat due to cookie problems never had this problem with any other airlines ,-0.05000000000000001,Negative,"['Facilities', 'Staffing Levels']"
"✅ Trip Verified |  Milan to Miami return via London. Worst business class ever. The layout of A380 of BA is crazy. The width of seats is outrageous (aisle seats are a shame for BA). Length is ok but you have to JUMP over the legs of another passenger when he/she is in sleeping mode. Unbelievable. The system of dividers up and down to reach all seats by crew is absurd and awful. Never again with this layout. Meal was below average from LHR to Mia, while the return was quite good. Unfortunately for BA, I flew in March with Qatar Airways business class, and not comparable. Just to highlight the difference: BA row has 8 seats, while QR has 4 seats! That’s it. On top of that, the service is quite strange (mainly due to dividers above). Boarding procedures look well organized at the beginning, then during boarding become quite messy.",   milan to miami return via london worst business class ever the layout of a of ba is crazy the width of seats is outrageous aisle seats are a shame for ba length is ok but you have to jump over the legs of another passenger when heshe is in sleeping mode unbelievable the system of dividers up and down to reach all seats by crew is absurd and awful never again with this layout meal was below average from lhr to mia while the return was quite good unfortunately for ba i flew in march with qatar airways business class and not comparable just to highlight the difference ba row has  seats while qr has  seats that’s it on top of that the service is quite strange mainly due to dividers above boarding procedures look well organized at the beginning then during boarding become quite messy,-0.23940972222222223,Negative,"['Facilities', 'Specific Service Issues']"
"✅ Trip Verified |  Manchester to Copenhagen via London on 30th April 2024 Aircrafts were A319 and A320, respectively, both in decent condition. I arrived from Africa, and had to transit and change terminal to T3, which is very cumbersome and tedious. Check-in was quick, easy, and professional, got my desired seats due to silver status at BA. From T3 I had to go through one of the worst security checks ever encountered, fragmenting almost every item in my carry-ons. Their Escape Lounge in T3 is quite decent, particular beer choices and prosecco sparkling wine. Food was very poor, neither any savoury snacks nor meaty food at all. Good tarmac view. First flight was delayed, forcing me to catch the 2nd in LHR within ½ hour. However, I was informed clearly at gate upon arriving in LHR, assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot. Onboard, only a mini-bottle of water and some bagged crumbs were given, fairly useless and superfluous. No IFE or WiFi. Annoying charity beggings from FAs on both flights are intrusive, annoying, disrespectful, and degrades the airline. Offerings onboard like discount carriers, except being pricier. Arrived final destination on time and so did my luggage.",   manchester to copenhagen via london on th april  aircrafts were a and a respectively both in decent condition i arrived from africa and had to transit and change terminal to t which is very cumbersome and tedious checkin was quick easy and professional got my desired seats due to silver status at ba from t i had to go through one of the worst security checks ever encountered fragmenting almost every item in my carryons their escape lounge in t is quite decent particular beer choices and prosecco sparkling wine food was very poor neither any savoury snacks nor meaty food at all good tarmac view first flight was delayed forcing me to catch the nd in lhr within ½ hour however i was informed clearly at gate upon arriving in lhr assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot onboard only a minibottle of water and some bagged crumbs were given fairly useless and superfluous no ife or wifi annoying charity beggings from fas on both flights are intrusive annoying disrespectful and degrades the airline offerings onboard like discount carriers except being pricier arrived final destination on time and so did my luggage,-0.08310606060606061,Negative,"['Facilities', 'Staffing Levels', 'Specific Service Issues']"
