reviews,cleaned_review,sentiment,sentiment_category,categories
✅ Trip Verified | It is almost 11pm we were supposed to take off at 19.20 we are still sitting on the plane at the airport. The worst part is not the technical issue that has kept us grounded but the fact we have only been offered half a glass of water the entire time we have been on board. Being hungry and dehydrated has not helped the situation.,  it is almost pm we were supposed to take off at  we are still sitting on the plane at the airport the worst part is not the technical issue that has kept us grounded but the fact we have only been offered half a glass of water the entire time we have been on board being hungry and dehydrated has not helped the situation,-0.23333333333333334,Negative,['Other']
"Not Verified |  Beware! BA don't provide any refund due to a very serious medical reason. My father was diagnosed with a severe heart defect a couple of weeks before his flight date and BA refused to give any refund as this was not a good enough reason!! We sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible, and the operator totally dismissed it. They said only thing they can do is change the travel date within a year. Heart surgery recovery takes months and it's highly unlikely that he will be able to travel within the year, meaning he would lose his ticket and money! They said they can't do anything to help, not even change the name on the ticket so someone else can use the tickets! The most ridiculous thing I've heard!",   beware ba dont provide any refund due to a very serious medical reason my father was diagnosed with a severe heart defect a couple of weeks before his flight date and ba refused to give any refund as this was not a good enough reason we sent them a medical note from his doctor saying he is unfit to travel due to potential heart failure and needs to have heart surgery as soon as possible and the operator totally dismissed it they said only thing they can do is change the travel date within a year heart surgery recovery takes months and its highly unlikely that he will be able to travel within the year meaning he would lose his ticket and money they said they cant do anything to help not even change the name on the ticket so someone else can use the tickets the most ridiculous thing ive heard,-0.07395833333333332,Negative,['Other']
"✅ Trip Verified |  Having not flown with BA for a few years, I read some of the reviews in preparation, needless to say I boarded this flight with low expectations. I was pleasantly surprised as the flight was ok. We left LHR a few minutes early and arrived at JNB ahead of schedule. Cabin crew, although not as good as some carriers were attentive and professional. Onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta. On board entertainment has never been BA's strong point and sadly that hasn't changed. Unfortunately BA is not the prestigious carrier it once was but its not as bad (from my experience) as some reviews suggest.",   having not flown with ba for a few years i read some of the reviews in preparation needless to say i boarded this flight with low expectations i was pleasantly surprised as the flight was ok we left lhr a few minutes early and arrived at jnb ahead of schedule cabin crew although not as good as some carriers were attentive and professional onboard catering was a disappointment as if you were unlucky to miss out on the chicken you were given a very sloppy pasta on board entertainment has never been bas strong point and sadly that hasnt changed unfortunately ba is not the prestigious carrier it once was but its not as bad from my experience as some reviews suggest,-0.0699074074074074,Negative,['Other']
"Not Verified |  My initial flight was cancelled 8 hours prior the flight. Then I was automatically rescheduled for next day. Next day, the flight was delayed leaving Hamburg and missed my connecting flight to Las Vegas. Me and several other passengers spent the night in London. British Airways provided us with vouchers but the transfer bus dropped us at the wrong hotel (closest to our hotel) and told us that we can walk there if we want to. As a result, I lost two nights hotel reservations that I made in las Vegas. I opened a claim and provided all receipts to British Airways to get refund of my hotel reservations, but over 5 weeks now, not a single feedback from British Airways. I will avoid all flights with them in future, and will share this story.",   my initial flight was cancelled  hours prior the flight then i was automatically rescheduled for next day next day the flight was delayed leaving hamburg and missed my connecting flight to las vegas me and several other passengers spent the night in london british airways provided us with vouchers but the transfer bus dropped us at the wrong hotel closest to our hotel and told us that we can walk there if we want to as a result i lost two nights hotel reservations that i made in las vegas i opened a claim and provided all receipts to british airways to get refund of my hotel reservations but over  weeks now not a single feedback from british airways i will avoid all flights with them in future and will share this story,-0.05302197802197802,Negative,['Other']
Not Verified |  We will never fly British Airways again. Our flight on July 15 2023 from LHR to LAX was cancelled 20 hours before departure without any explanation. Since 8 weeks we are now waiting for the refund and BA does not pay us the cost caused by the cancellation. Very disappointing.,   we will never fly british airways again our flight on july   from lhr to lax was cancelled  hours before departure without any explanation since  weeks we are now waiting for the refund and ba does not pay us the cost caused by the cancellation very disappointing,-0.39333333333333337,Negative,['Other']
✅ Trip Verified |  4/4 flights we booked this holiday were delayed about 1-2 hours. No wifi available on 2 of 4 flights Food and drinks very basic and expensive. Cannot recommend,    flights we booked this holiday were delayed about  hours no wifi available on  of  flights food and drinks very basic and expensive cannot recommend,-0.033333333333333326,Negative,['Other']
✅ Trip Verified |  A serious medical problem appeared while I was onboard. I informed the crew and they helped me out. Unfortunately I was in transit but travelling further became too difficult because of how unwell I became. Also I could not find my way back home in my condition. Thankfully the crew has helped me in every step of the journey until I returned back home. It was a stressful experience but the crew of British Airways made it way more tolerable.,   a serious medical problem appeared while i was onboard i informed the crew and they helped me out unfortunately i was in transit but travelling further became too difficult because of how unwell i became also i could not find my way back home in my condition thankfully the crew has helped me in every step of the journey until i returned back home it was a stressful experience but the crew of british airways made it way more tolerable,-0.09259259259259259,Negative,['Other']
"✅ Trip Verified |  A catalogue of failures. We flew from Belfast to Heathrow a week ago and the flight was delayed by over three and a half hours. We missed our onward Air Canada flight to Calgary as a result. On arriving in Calgary (after re-routing via Vancouver which added over 6 hours to our journey) we met other passengers who had also missed the same Air Canada flight as their British Airways flight from Manchester had also been delayed by several hours. We are now on our way home only to find our Heathrow to Belfast flight, which had already been cancelled and put back 2 hours, is now delayed by another 2 hours. Avoid British Airways like the plague.",   a catalogue of failures we flew from belfast to heathrow a week ago and the flight was delayed by over three and a half hours we missed our onward air canada flight to calgary as a result on arriving in calgary after rerouting via vancouver which added over  hours to our journey we met other passengers who had also missed the same air canada flight as their british airways flight from manchester had also been delayed by several hours we are now on our way home only to find our heathrow to belfast flight which had already been cancelled and put back  hours is now delayed by another  hours avoid british airways like the plague,-0.03645833333333333,Negative,['Other']
"✅ Trip Verified | Plane was over an hour late leaving, no problem that can happen. But on arrival at Heathrow, the plane sits on the runway for 45 minutes as there was no free stand to go to. Then once at the stand we waited another 45 minutes as there was no bridge available to enable us to get off the plane. Just pathetically inefficient.",  plane was over an hour late leaving no problem that can happen but on arrival at heathrow the plane sits on the runway for  minutes as there was no free stand to go to then once at the stand we waited another  minutes as there was no bridge available to enable us to get off the plane just pathetically inefficient,-0.033333333333333326,Negative,['Other']
"Not Verified |  BA cancelled my flight home to Heathrow on Dec 19th. On the face of it, that was sensible as the weather in Iceland was appalling. However, what was not acceptable was that the flight was cancelled only 4 hours before take off time by which time I was already struggling through dreadful driving conditions to get to the airport. I got nowhere near before the conditions became too bad. If they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed. I am now booked onto the flight on the 21st and downgraded for my sins. Having checked today, as I type they have not cancelled the flight on the 20th despite the road to Keflavík being closed! Do they not check these things? Any help from BA offered - not really.",   ba cancelled my flight home to heathrow on dec th on the face of it that was sensible as the weather in iceland was appalling however what was not acceptable was that the flight was cancelled only  hours before take off time by which time i was already struggling through dreadful driving conditions to get to the airport i got nowhere near before the conditions became too bad if they had taken advice they would have spared everyone the need to try and travel on roads that all ended up closed i am now booked onto the flight on the st and downgraded for my sins having checked today as i type they have not cancelled the flight on the th despite the road to keflavík being closed do they not check these things any help from ba offered  not really,-0.28125,Negative,['Other']
