reviews,cleaned_review,sentiment,sentiment_category,categories
Not Verified |   I reported my damaged/ruined suitcase 5 weeks ago and I'm still awaiting a reply. I'll think twice about booking with BA again as the Customer Service is shocking to say the least. I've followed up with British Airways with at least 3 emails per week requesting an update but with no joy so far.,    i reported my damagedruined suitcase  weeks ago and im still awaiting a reply ill think twice about booking with ba again as the customer service is shocking to say the least ive followed up with british airways with at least  emails per week requesting an update but with no joy so far,-0.34285714285714286,Negative,"['Customer Service', 'Specific Service Issues']"
"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",  flight cancelled with no reason given less than  h before departure the earliest offered replacement on their terrible to use app was  days later which was unacceptable their phone lines do not work and would reject your call due to being overwhelmed even submitting a claim on their website is frustrating due to their terrible interface overall terrible company with wholly inadequate customer service,-0.4240740740740741,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  While BA may have made some positive improvements to its Club World product, its World Traveler product and catering leaves much to be desired. The first meal service was very slow, more than 3 hours to serve the meal. The portions were incredibly small - the chicken dish contained maybe 5 pieces of chicken, 2 pieces of broccoli, and a piece of unknown food. Small snacks were available during the flight, but the real let down was the snack before landing in Vancouver. It was a bizarre tasting chicken pastry wrap, which didn't have much chicken and did not taste at all like a pastry. It was too sweet, too mushy, and too salty. The seats, although not exactly spacious, were tolerable, although the aisles are very narrow, and cabin crew and other passengers frequently bumped into me while walking up and down the aisles. Cabin crew were generally responsive to passengers' request, and once or twice during the flight, came down the aisles with drinks. However, the poor level of catering made for a very frustrating trip. I certainly cannot recommend BA.",   while ba may have made some positive improvements to its club world product its world traveler product and catering leaves much to be desired the first meal service was very slow more than  hours to serve the meal the portions were incredibly small  the chicken dish contained maybe  pieces of chicken  pieces of broccoli and a piece of unknown food small snacks were available during the flight but the real let down was the snack before landing in vancouver it was a bizarre tasting chicken pastry wrap which didnt have much chicken and did not taste at all like a pastry it was too sweet too mushy and too salty the seats although not exactly spacious were tolerable although the aisles are very narrow and cabin crew and other passengers frequently bumped into me while walking up and down the aisles cabin crew were generally responsive to passengers request and once or twice during the flight came down the aisles with drinks however the poor level of catering made for a very frustrating trip i certainly cannot recommend ba,-0.08870771204104537,Negative,"['Facilities', 'Specific Service Issues']"
"✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",   flight delayed an hour due to bad weather around jfk however this was made up during the flight only to be delayed again by weather over lhr spending an extra hour in the americanba lounge at jfk was not ideal cold environment cold staff indifferent to the travellers needs one area was exceptionally dirty with plates on the tables and napkins strewn on the floor waited for a drink as no one to serve played a game of find the chipscrisps  which were hidden on a table in a dark corner in one of the  areas this is a crazy expensive route in business class and it feels like a rip off across all the airlines however the quality of bas business class has much improved with the introduction of the suites the privacy is a big improvement as too is the seat comfort and i managed a good hr sleep on the overnight redeye flight food service was very efficient for those that wanted it and did the trick so late at night aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant unfortunately i didnt catch his name but he was superb being responsive to the few requests i made and remembered my name throughout the flight a small but very valued touch that is often missing with business class flight attendants on ba very good experience all round except the price which is reflected in my value for money rating,-0.10299999999999997,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  BA cancelled the flight from Tokyo to LHR. I was booked on next day flight. There was another flight on the same day. I went to the desk, but the flight was full. BA in charge offers another flight through Hong Kong which would have been 26h flight time. I declined that, and asked to stay on the next day flight. To my dismay he cancelled the next day flight without telling me he did that. I think he was annoyed that I didn’t accept the offer after he spent sometime looking for. In fact I am the one who should be annoyed for cancelling my flight. I ended up flying another airline with downgrading. Poor service, and appalling behaviour. You expect better from BA.",   ba cancelled the flight from tokyo to lhr i was booked on next day flight there was another flight on the same day i went to the desk but the flight was full ba in charge offers another flight through hong kong which would have been h flight time i declined that and asked to stay on the next day flight to my dismay he cancelled the next day flight without telling me he did that i think he was annoyed that i didn’t accept the offer after he spent sometime looking for in fact i am the one who should be annoyed for cancelling my flight i ended up flying another airline with downgrading poor service and appalling behaviour you expect better from ba,-0.05833333333333335,Negative,"['Staffing Levels', 'Specific Service Issues']"
"Not Verified |  We had a Premium Economy return flight Los Angeles to London. The outbound flight was cancelled with under 12 hours notice, and we had to instead take an economy flight via Dublin to London. That's annoying but it happens. What is really difficult to understand is BA's response since I raised this as a claim once our return flight had completed (as I was instructed to do). It is now nearly 5 months and there has been no response other than one in early March with the title ""we've not forgotten your case"" and ""We're really sorry you're still waiting for a response from us. We know it's been a long time since you contacted us and this isn't the service you should expect. Rest assured we've not forgotten your case. Our Customer Relations team are working extremely hard to respond to you as soon as possible. Thank you for your continued patience. You can check the status of your case here. Please accept our most sincere apologies. We look forward to speaking with you soon."" I called about a month ago to enquire and was told i'd be hearing within the week. This is just extremely poor customer service, in addition to the inconvenience and stress of the late-cancelled flight, delays and change in class of flight. British Airways really seems to be on the decline, i have so many friends who are long-time customers like us who are having flights cancelled or delayed with little commitment to make it right. I have been a member of their Flying Club for 20 years, is this how you treat loyal customers BA?",   we had a premium economy return flight los angeles to london the outbound flight was cancelled with under  hours notice and we had to instead take an economy flight via dublin to london thats annoying but it happens what is really difficult to understand is bas response since i raised this as a claim once our return flight had completed as i was instructed to do it is now nearly  months and there has been no response other than one in early march with the title weve not forgotten your case and were really sorry youre still waiting for a response from us we know its been a long time since you contacted us and this isnt the service you should expect rest assured weve not forgotten your case our customer relations team are working extremely hard to respond to you as soon as possible thank you for your continued patience you can check the status of your case here please accept our most sincere apologies we look forward to speaking with you soon i called about a month ago to enquire and was told id be hearing within the week this is just extremely poor customer service in addition to the inconvenience and stress of the latecancelled flight delays and change in class of flight british airways really seems to be on the decline i have so many friends who are longtime customers like us who are having flights cancelled or delayed with little commitment to make it right i have been a member of their flying club for  years is this how you treat loyal customers ba,-0.018617724867724852,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced.",  we have flown with british airways a few times but this last trip was by far the worst experience we werent able to check in online because the system wouldnt accept any of our passport info so we had to wait to check in upon arrival at the airport we arrived two hours before our scheduled departure the line was backed up with only  stations being staffed where there was room for at least  more attendants to help expedite check in we talked to a few people in line and they too were unable to check in online it took the desk attendants an hour to check in the people ahead of us we told the agent we had tried to check in online but it wouldnt accept our passports she replied it was because they need to verify each passport personally i asked that wouldnt they verify them that way anyway i also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldnt secure them because we couldnt finish check in she went on to tell us its a full flight so we wouldnt be able to choose our seats we reached the gate and ask the agents there about moving to another section and she confirmed there was no availability during the flight the service was not what we expected based on previous flights we only saw the flight attendants during food service and twice to pickup trash every time i went to the lavatory there were at least  attendants standing around chatting instead of taking care of the passengers the attendants seemed uninterested and inexperienced even snapping at a confused passenger regarding their seat belt the flight attendants were disappointing to say the least no available air control vents above us so no option to have any air flow other than what the whole plane had upon landing we went to the baggage carousel to claim our bags an hour later still no bags finally a message came over the loudspeakers that the elevator on the plane was broken and the eta of the bags was still unknown about  minutes later the bags started to slowly appear on the belt overall this was the worst ba flight weve experienced,-0.05635964912280702,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | I sat in the plane at Vienna airport for three hours and didn't take off. After arriving in London, I was sent on my connecting flight, only to be told that the plane had already closed and that I should go back to the other terminal. I was then flown to Johannesburg with Virgin and when I arrived my luggage had not been taken. I only received it five days later. I have been waiting for compensation for nine months. Never again British Airways",  i sat in the plane at vienna airport for three hours and didnt take off after arriving in london i was sent on my connecting flight only to be told that the plane had already closed and that i should go back to the other terminal i was then flown to johannesburg with virgin and when i arrived my luggage had not been taken i only received it five days later i have been waiting for compensation for nine months never again british airways,-0.03214285714285715,Negative,['Specific Service Issues']
"✅ Trip Verified |  A premium price for a sub-par product - flew BA (031/032) LHR and HKG and return in May. We had originally booked when the aircraft was allocated the club suites - paid for seat selection. A couple of months prior to the trip, the aircraft was changed to the 2/3/2 layout with the yin/yang seat configuration. We had been allocated 2 of the 3 middle seats, so paid again to select the window and aisle. The hard product is poor - the seat space lacks any form of storage that remains accessible when the seat is in the flat position - nowhere to put specs, a book or phone. Additionally, the window seat passenger has to climb over the feet of another passenger to use the toilet etc - really poor layout. The planes on both legs of the journey were tired and shabby. The crew on the outward journey were enthusiastic and helpful - the return crew seemed less adept at managing the service. The outbound catering was acceptable - but the presentation on tiny plates does not compare favourably with competitors. The catering inbound was very poor. The welcome ‘champagne’ was truly awful. This is a poor product at a premium price - and sad to say, this pair of self-funding passengers won’t choose to repeat the experience. The lounge at Heathrow on the outbound sector was packed to the rafters and was a poor experience. Very disappointing.",   a premium price for a subpar product  flew ba  lhr and hkg and return in may we had originally booked when the aircraft was allocated the club suites  paid for seat selection a couple of months prior to the trip the aircraft was changed to the  layout with the yinyang seat configuration we had been allocated  of the  middle seats so paid again to select the window and aisle the hard product is poor  the seat space lacks any form of storage that remains accessible when the seat is in the flat position  nowhere to put specs a book or phone additionally the window seat passenger has to climb over the feet of another passenger to use the toilet etc  really poor layout the planes on both legs of the journey were tired and shabby the crew on the outward journey were enthusiastic and helpful  the return crew seemed less adept at managing the service the outbound catering was acceptable  but the presentation on tiny plates does not compare favourably with competitors the catering inbound was very poor the welcome ‘champagne’ was truly awful this is a poor product at a premium price  and sad to say this pair of selffunding passengers won’t choose to repeat the experience the lounge at heathrow on the outbound sector was packed to the rafters and was a poor experience very disappointing,-0.1222222222222222,Negative,"['Facilities', 'Specific Service Issues']"
Not Verified |   I flew from Malaga via LHR to Boston on the 4th May 2024 and on arrival in Boston discovered my luggage was still in London. Filed a report and now 4 days later no sign of the luggage. The baggage customer service is a joke. Not interested in the clients or giving a good service. Updates are useless. I know my luggage has been sitting in Boston since the 5th as I have an air tag inside it. The airline seem to have no intention of getting my luggage to me. The robots on FB messenger & twitter are useless. I opened a complaint & when I checked the update of my complaint the case had been closed despite never been contacted by a human!! This airline is now a joke and if I ever get my luggage back I doubt I will ever fly with them again. They are now worse than Air Canada in my book and that is saying something.,    i flew from malaga via lhr to boston on the th may  and on arrival in boston discovered my luggage was still in london filed a report and now  days later no sign of the luggage the baggage customer service is a joke not interested in the clients or giving a good service updates are useless i know my luggage has been sitting in boston since the th as i have an air tag inside it the airline seem to have no intention of getting my luggage to me the robots on fb messenger  twitter are useless i opened a complaint  when i checked the update of my complaint the case had been closed despite never been contacted by a human this airline is now a joke and if i ever get my luggage back i doubt i will ever fly with them again they are now worse than air canada in my book and that is saying something,-0.06041666666666668,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
