reviews,cleaned_review,sentiment,sentiment_category,categories
"✅ Trip Verified | If you can’t fly First Class don’t fly British Airways! VERY uncomfortable seats. You can’t even get out of your seat when the person in front has their seat reclined (and who doesn’t need to recline their seat!) You can’t pick up ANYTHING off the floor during the flight because you can’t bend to touch the floor - there isn’t enough space to! If you have long legs don’t think you are going to be comfortable - as soon as the person in front of you puts their chair back your knees WILL be CRUSHED! Terrible food, Terrible plane, Terrible air-hostesses, Terrible flight and unfortunately I have to fly back home with them.",  if you can’t fly first class don’t fly british airways very uncomfortable seats you can’t even get out of your seat when the person in front has their seat reclined and who doesn’t need to recline their seat you can’t pick up anything off the floor during the flight because you can’t bend to touch the floor  there isn’t enough space to if you have long legs don’t think you are going to be comfortable  as soon as the person in front of you puts their chair back your knees will be crushed terrible food terrible plane terrible airhostesses terrible flight and unfortunately i have to fly back home with them,-0.1323529411764706,Negative,"['Facilities', 'Staffing Levels']"
"✅ Trip Verified | Flight cancelled with no reason given less than 24 h before departure. The earliest offered replacement on their (terrible to use) app was 3 days later, which was unacceptable. Their phone lines do not work and would reject your call due to being overwhelmed. Even submitting a claim on their website is frustrating due to their terrible interface. Overall, terrible company with wholly inadequate customer service.",  flight cancelled with no reason given less than  h before departure the earliest offered replacement on their terrible to use app was  days later which was unacceptable their phone lines do not work and would reject your call due to being overwhelmed even submitting a claim on their website is frustrating due to their terrible interface overall terrible company with wholly inadequate customer service,-0.4240740740740741,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  Flight delayed an hour due to bad weather around JFK however this was made up during the flight, only to be delayed again by weather over LHR. Spending an extra hour in the American/BA lounge at JFK was not ideal. Cold environment, cold staff, indifferent to the travellers needs. One area was exceptionally dirty with plates on the tables and napkins strewn on the floor. Waited for a drink as no one to serve. Played a game of find the chips/crisps - which were hidden on a table in a dark corner in one of the 3 areas. This is a crazy expensive route in Business Class and it feels like a rip off across all the airlines however the quality of BA's business class has much improved with the introduction of the suites. The privacy is a big improvement as too is the seat comfort and I managed a good 3hr sleep on the overnight red-eye flight. Food service was very efficient for those that wanted it and did the trick so late at night. Aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant. Unfortunately, I didn't catch his name but he was superb, being responsive to the few requests I made and remembered my name throughout the flight. A small but very valued touch that is often missing with business class flight attendants on BA. Very good experience all round except the price which is reflected in my value for money rating.",   flight delayed an hour due to bad weather around jfk however this was made up during the flight only to be delayed again by weather over lhr spending an extra hour in the americanba lounge at jfk was not ideal cold environment cold staff indifferent to the travellers needs one area was exceptionally dirty with plates on the tables and napkins strewn on the floor waited for a drink as no one to serve played a game of find the chipscrisps  which were hidden on a table in a dark corner in one of the  areas this is a crazy expensive route in business class and it feels like a rip off across all the airlines however the quality of bas business class has much improved with the introduction of the suites the privacy is a big improvement as too is the seat comfort and i managed a good hr sleep on the overnight redeye flight food service was very efficient for those that wanted it and did the trick so late at night aside from getting a decent rest on the relatively short flight the other highlight was the flight attendant unfortunately i didnt catch his name but he was superb being responsive to the few requests i made and remembered my name throughout the flight a small but very valued touch that is often missing with business class flight attendants on ba very good experience all round except the price which is reflected in my value for money rating,-0.10299999999999997,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | The worst airline I’ve ever flown. Could not check in until my flight was open (I was there 2 hours before flight not 2 days before!). Asked if my husband could fly on the same flight (he was also flying club Europe but on a later flight and I could see online that there was room on the plane I was on). The agent said they couldn’t change his flight at the ticket counter (never heard of that). This could only be done online or by calling British Airways. I had already tried online so asked for a telephone number to call and the British Airways agent did not have a number for me to call. So I looked up and called several numbers online and all I got was the office was closed on Saturdays. I asked for the ticket agent again. Explained we were going to his mother’s memorial and that and it would be nice if he could get on the same flight as I was on. They still refused to help. So, he stayed on his flight which was leaving 4 hours later and then got cancelled and he had to spend the night in Florence. They re routed him on a flight to London via Edinburgh. And then they lost his suitcase!! You can’t make this stuff up! As for my flight # BA 525, I got several emails and messages advising me it was delayed. I decided to go to the gate at the original flight time and guess what? It was boarding on time. I can’t imagine the number of people who might of missed it. It’s just an awful, awful airline and I will never fly them again if I can possibly avoid them!",  the worst airline i’ve ever flown could not check in until my flight was open i was there  hours before flight not  days before asked if my husband could fly on the same flight he was also flying club europe but on a later flight and i could see online that there was room on the plane i was on the agent said they couldn’t change his flight at the ticket counter never heard of that this could only be done online or by calling british airways i had already tried online so asked for a telephone number to call and the british airways agent did not have a number for me to call so i looked up and called several numbers online and all i got was the office was closed on saturdays i asked for the ticket agent again explained we were going to his mother’s memorial and that and it would be nice if he could get on the same flight as i was on they still refused to help so he stayed on his flight which was leaving  hours later and then got cancelled and he had to spend the night in florence they re routed him on a flight to london via edinburgh and then they lost his suitcase you can’t make this stuff up as for my flight  ba  i got several emails and messages advising me it was delayed i decided to go to the gate at the original flight time and guess what it was boarding on time i can’t imagine the number of people who might of missed it it’s just an awful awful airline and i will never fly them again if i can possibly avoid them,-0.09078947368421053,Negative,['Staffing Levels']
"✅ Trip Verified |  BA cancelled the flight from Tokyo to LHR. I was booked on next day flight. There was another flight on the same day. I went to the desk, but the flight was full. BA in charge offers another flight through Hong Kong which would have been 26h flight time. I declined that, and asked to stay on the next day flight. To my dismay he cancelled the next day flight without telling me he did that. I think he was annoyed that I didn’t accept the offer after he spent sometime looking for. In fact I am the one who should be annoyed for cancelling my flight. I ended up flying another airline with downgrading. Poor service, and appalling behaviour. You expect better from BA.",   ba cancelled the flight from tokyo to lhr i was booked on next day flight there was another flight on the same day i went to the desk but the flight was full ba in charge offers another flight through hong kong which would have been h flight time i declined that and asked to stay on the next day flight to my dismay he cancelled the next day flight without telling me he did that i think he was annoyed that i didn’t accept the offer after he spent sometime looking for in fact i am the one who should be annoyed for cancelling my flight i ended up flying another airline with downgrading poor service and appalling behaviour you expect better from ba,-0.05833333333333335,Negative,"['Staffing Levels', 'Specific Service Issues']"
"Not Verified |  We had a Premium Economy return flight Los Angeles to London. The outbound flight was cancelled with under 12 hours notice, and we had to instead take an economy flight via Dublin to London. That's annoying but it happens. What is really difficult to understand is BA's response since I raised this as a claim once our return flight had completed (as I was instructed to do). It is now nearly 5 months and there has been no response other than one in early March with the title ""we've not forgotten your case"" and ""We're really sorry you're still waiting for a response from us. We know it's been a long time since you contacted us and this isn't the service you should expect. Rest assured we've not forgotten your case. Our Customer Relations team are working extremely hard to respond to you as soon as possible. Thank you for your continued patience. You can check the status of your case here. Please accept our most sincere apologies. We look forward to speaking with you soon."" I called about a month ago to enquire and was told i'd be hearing within the week. This is just extremely poor customer service, in addition to the inconvenience and stress of the late-cancelled flight, delays and change in class of flight. British Airways really seems to be on the decline, i have so many friends who are long-time customers like us who are having flights cancelled or delayed with little commitment to make it right. I have been a member of their Flying Club for 20 years, is this how you treat loyal customers BA?",   we had a premium economy return flight los angeles to london the outbound flight was cancelled with under  hours notice and we had to instead take an economy flight via dublin to london thats annoying but it happens what is really difficult to understand is bas response since i raised this as a claim once our return flight had completed as i was instructed to do it is now nearly  months and there has been no response other than one in early march with the title weve not forgotten your case and were really sorry youre still waiting for a response from us we know its been a long time since you contacted us and this isnt the service you should expect rest assured weve not forgotten your case our customer relations team are working extremely hard to respond to you as soon as possible thank you for your continued patience you can check the status of your case here please accept our most sincere apologies we look forward to speaking with you soon i called about a month ago to enquire and was told id be hearing within the week this is just extremely poor customer service in addition to the inconvenience and stress of the latecancelled flight delays and change in class of flight british airways really seems to be on the decline i have so many friends who are longtime customers like us who are having flights cancelled or delayed with little commitment to make it right i have been a member of their flying club for  years is this how you treat loyal customers ba,-0.018617724867724852,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified | We have flown with British Airways a few times but this last trip was by far the worst experience. We weren't able to check in online because the system wouldn't accept any of our passport info, so we had to wait to check in upon arrival at the airport. We arrived two hours before our scheduled departure. The line was backed up with only 4 stations being staffed where there was room for at least 6 more attendants to help expedite check in. We talked to a few people in line and they too were unable to check in online. It took the desk attendants an hour to check in the people ahead of us. We told the agent we had tried to check in online but it wouldn't accept our passports, she replied it was because they need to verify each passport personally. I asked that wouldn't they verify them that way anyway? I also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldn't secure them because we couldn't finish check in. She went on to tell us it's a full flight so we wouldn't be able to choose our seats. We reached the gate and ask the agents there about moving to another section and she confirmed there was no availability. During the flight, the service was not what we expected based on previous flights. We only saw the flight attendants during food service and twice to pickup trash. Every time I went to the lavatory, there were at least 6-8 attendants standing around chatting, instead of taking care of the passengers. The attendants seemed uninterested and inexperienced, even snapping at a confused passenger regarding their seat belt. The flight attendants were disappointing to say the least. No available air control vents above us, so no option to have any air flow other than what the whole plane had. Upon landing, we went to the baggage carousel to claim our bags. An hour later, still no bags. Finally a message came over the loudspeakers that the elevator on the plane was broken and the ETA of the bags was still unknown. About 30 minutes later, the bags started to slowly appear on the belt. Overall, this was the worst BA flight we've experienced.",  we have flown with british airways a few times but this last trip was by far the worst experience we werent able to check in online because the system wouldnt accept any of our passport info so we had to wait to check in upon arrival at the airport we arrived two hours before our scheduled departure the line was backed up with only  stations being staffed where there was room for at least  more attendants to help expedite check in we talked to a few people in line and they too were unable to check in online it took the desk attendants an hour to check in the people ahead of us we told the agent we had tried to check in online but it wouldnt accept our passports she replied it was because they need to verify each passport personally i asked that wouldnt they verify them that way anyway i also let her know we attempted to move closer to the front of the plane and could see there were seats available but couldnt secure them because we couldnt finish check in she went on to tell us its a full flight so we wouldnt be able to choose our seats we reached the gate and ask the agents there about moving to another section and she confirmed there was no availability during the flight the service was not what we expected based on previous flights we only saw the flight attendants during food service and twice to pickup trash every time i went to the lavatory there were at least  attendants standing around chatting instead of taking care of the passengers the attendants seemed uninterested and inexperienced even snapping at a confused passenger regarding their seat belt the flight attendants were disappointing to say the least no available air control vents above us so no option to have any air flow other than what the whole plane had upon landing we went to the baggage carousel to claim our bags an hour later still no bags finally a message came over the loudspeakers that the elevator on the plane was broken and the eta of the bags was still unknown about  minutes later the bags started to slowly appear on the belt overall this was the worst ba flight weve experienced,-0.05635964912280702,Negative,"['Customer Service', 'Facilities', 'Staffing Levels', 'Specific Service Issues']"
✅ Trip Verified |  Really terrible user experience. British Airways website is full of glitches. I can't even choose my own seat due to cookie problems. Never had this problem with any other airlines. ,   really terrible user experience british airways website is full of glitches i cant even choose my own seat due to cookie problems never had this problem with any other airlines ,-0.05000000000000001,Negative,"['Facilities', 'Staffing Levels']"
Not Verified |   I flew from Malaga via LHR to Boston on the 4th May 2024 and on arrival in Boston discovered my luggage was still in London. Filed a report and now 4 days later no sign of the luggage. The baggage customer service is a joke. Not interested in the clients or giving a good service. Updates are useless. I know my luggage has been sitting in Boston since the 5th as I have an air tag inside it. The airline seem to have no intention of getting my luggage to me. The robots on FB messenger & twitter are useless. I opened a complaint & when I checked the update of my complaint the case had been closed despite never been contacted by a human!! This airline is now a joke and if I ever get my luggage back I doubt I will ever fly with them again. They are now worse than Air Canada in my book and that is saying something.,    i flew from malaga via lhr to boston on the th may  and on arrival in boston discovered my luggage was still in london filed a report and now  days later no sign of the luggage the baggage customer service is a joke not interested in the clients or giving a good service updates are useless i know my luggage has been sitting in boston since the th as i have an air tag inside it the airline seem to have no intention of getting my luggage to me the robots on fb messenger  twitter are useless i opened a complaint  when i checked the update of my complaint the case had been closed despite never been contacted by a human this airline is now a joke and if i ever get my luggage back i doubt i will ever fly with them again they are now worse than air canada in my book and that is saying something,-0.06041666666666668,Negative,"['Customer Service', 'Staffing Levels', 'Specific Service Issues']"
"✅ Trip Verified |  Manchester to Copenhagen via London on 30th April 2024 Aircrafts were A319 and A320, respectively, both in decent condition. I arrived from Africa, and had to transit and change terminal to T3, which is very cumbersome and tedious. Check-in was quick, easy, and professional, got my desired seats due to silver status at BA. From T3 I had to go through one of the worst security checks ever encountered, fragmenting almost every item in my carry-ons. Their Escape Lounge in T3 is quite decent, particular beer choices and prosecco sparkling wine. Food was very poor, neither any savoury snacks nor meaty food at all. Good tarmac view. First flight was delayed, forcing me to catch the 2nd in LHR within ½ hour. However, I was informed clearly at gate upon arriving in LHR, assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot. Onboard, only a mini-bottle of water and some bagged crumbs were given, fairly useless and superfluous. No IFE or WiFi. Annoying charity beggings from FAs on both flights are intrusive, annoying, disrespectful, and degrades the airline. Offerings onboard like discount carriers, except being pricier. Arrived final destination on time and so did my luggage.",   manchester to copenhagen via london on th april  aircrafts were a and a respectively both in decent condition i arrived from africa and had to transit and change terminal to t which is very cumbersome and tedious checkin was quick easy and professional got my desired seats due to silver status at ba from t i had to go through one of the worst security checks ever encountered fragmenting almost every item in my carryons their escape lounge in t is quite decent particular beer choices and prosecco sparkling wine food was very poor neither any savoury snacks nor meaty food at all good tarmac view first flight was delayed forcing me to catch the nd in lhr within ½ hour however i was informed clearly at gate upon arriving in lhr assisting me on next gate and the airline managed to transfer the luggage in this extremely narrow timeslot onboard only a minibottle of water and some bagged crumbs were given fairly useless and superfluous no ife or wifi annoying charity beggings from fas on both flights are intrusive annoying disrespectful and degrades the airline offerings onboard like discount carriers except being pricier arrived final destination on time and so did my luggage,-0.08310606060606061,Negative,"['Facilities', 'Staffing Levels', 'Specific Service Issues']"
