reviews,cleaned_review,sentiment,sentiment_category
"Not Verified |   On March 1st, I flew from Berlin to São Paulo with BA but encountered several issues. My first flight was delayed by several hours, causing me to miss my connection at London Heathrow. Upon arriving at the airport after midnight, I was given a hotel voucher. However, the hotel designated by BA rudely denied me check-in, claiming it was fully booked. I had to return to Heathrow at 1 AM and found a different hotel, paying for the taxi out of my own pocket. As a result of these complications, I arrived in São Paulo more than 24 hours late. Despite my efforts to assert my rights and seek reimbursement for the taxi, BA's customer service has been extremely poor. Their phone lines are non-functional, emails are only answered automatically, and the appropriate channels for such requests have not been responsive since the first week of March. This experience has left me extremely disappointed, especially considering the high standard of service I once associated with BA.",    on march st i flew from berlin to são paulo with ba but encountered several issues my first flight was delayed by several hours causing me to miss my connection at london heathrow upon arriving at the airport after midnight i was given a hotel voucher however the hotel designated by ba rudely denied me checkin claiming it was fully booked i had to return to heathrow at  am and found a different hotel paying for the taxi out of my own pocket as a result of these complications i arrived in são paulo more than  hours late despite my efforts to assert my rights and seek reimbursement for the taxi bas customer service has been extremely poor their phone lines are nonfunctional emails are only answered automatically and the appropriate channels for such requests have not been responsive since the first week of march this experience has left me extremely disappointed especially considering the high standard of service i once associated with ba,0.02833333333333334,Positive
"Not Verified | The WORST customer experience! British Airways (BA) is effectively robbing people! They are not here to help and show no compassion. My partner and I fell ill and had a doctor’s note stating we couldn't fly. BA said they'd hold our flight amount as a voucher valid for a year. Fair enough. Caveat to this (which was not stated to us): you must call them and it is not usable on holiday packages. However, using this voucher was a nightmare. We can't use it for both our tickets because the original was long-haul, and they refuse to refund half the amount. BA's customer service was awful and rude, effectively stealing £400 from us. This policy must stop. We feel held hostage with no solution. ",  the worst customer experience british airways ba is effectively robbing people they are not here to help and show no compassion my partner and i fell ill and had a doctor’s note stating we couldnt fly ba said theyd hold our flight amount as a voucher valid for a year fair enough caveat to this which was not stated to us you must call them and it is not usable on holiday packages however using this voucher was a nightmare we cant use it for both our tickets because the original was longhaul and they refuse to refund half the amount bas customer service was awful and rude effectively stealing £ from us this policy must stop we feel held hostage with no solution ,0.009027777777777779,Positive
"Not Verified |   Had to cancel my flight months in advance due to a change of schedule. I was flying with American Airlines and British Airways. Selected seats and when I attempted to get a refund on the selected seats, AA refunded me with no issue when BA refused despite both companies having similar policies. Avoid them, fly with anyone else. Customer service is a joke, taking over 2 weeks to respond to my email and giving me no further justification than what I was told on the phone.",    had to cancel my flight months in advance due to a change of schedule i was flying with american airlines and british airways selected seats and when i attempted to get a refund on the selected seats aa refunded me with no issue when ba refused despite both companies having similar policies avoid them fly with anyone else customer service is a joke taking over  weeks to respond to my email and giving me no further justification than what i was told on the phone,0.1125,Positive
"✅ Trip Verified | This is a route I fly regularly. Used first class security and lounge all good. Lounge surprisingly not so busy. Was great to see we weren't departing from the dreaded A10 bus gate, and the flight was on time. Boarded and ready to go on time and then.... Six passengers were a no show. A 50 minute delay to offload the bags and depart, longer than the actual flight itself. There has to be a better process for fast tracking this. Hence finally arrived in Paris 45 mins late. On the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days.",  this is a route i fly regularly used first class security and lounge all good lounge surprisingly not so busy was great to see we werent departing from the dreaded a bus gate and the flight was on time boarded and ready to go on time and then six passengers were a no show a  minute delay to offload the bags and depart longer than the actual flight itself there has to be a better process for fast tracking this hence finally arrived in paris  mins late on the plus side the cabin crew were great and even had a personal welcome from the inflight manager which happens less and less these days,0.2568627450980392,Positive
"✅ Trip Verified | British Airways new Club Suite is a marked improvement from their older Club World seats. The new Club Suite offers a fair amount of privacy, especially with the screen door closed, and includes direct aisle access. When fully reclined, the seat converts into a fairly spacious bed, although I found the surface on the side a bit hard and uncomfortable to sleep on. The catering on board was fairly good and tasty - the appetizers and the main course were generally well cooked, although the cabin crew were very slow with the meal service. It took almost 3 hours after departure from Vancouver for the meal service to be completed. Prior to arrival, a light breakfast was served, which contained a croissant, a small egg and bacon sandwich, and a mango puree. BA's catering on this flight was generally good. Unfortunately, upon arrival at Heathrow, passengers had to wait over 90 minutes for checked baggage to arrive. No explanation was given, and not a single member of ground staff came to assist passengers or provide any information about when checked baggage would arrive. This was a very frustrating end to what was otherwise a fairly enjoyable trip in Club World, and left a very poor last impression of BA.",  british airways new club suite is a marked improvement from their older club world seats the new club suite offers a fair amount of privacy especially with the screen door closed and includes direct aisle access when fully reclined the seat converts into a fairly spacious bed although i found the surface on the side a bit hard and uncomfortable to sleep on the catering on board was fairly good and tasty  the appetizers and the main course were generally well cooked although the cabin crew were very slow with the meal service it took almost  hours after departure from vancouver for the meal service to be completed prior to arrival a light breakfast was served which contained a croissant a small egg and bacon sandwich and a mango puree bas catering on this flight was generally good unfortunately upon arrival at heathrow passengers had to wait over  minutes for checked baggage to arrive no explanation was given and not a single member of ground staff came to assist passengers or provide any information about when checked baggage would arrive this was a very frustrating end to what was otherwise a fairly enjoyable trip in club world and left a very poor last impression of ba,0.05786100803957942,Positive
"✅ Trip Verified |  Four very pleasant, on time flights with friendly, helpful staff. The guy on the LHR/SFO leg was exceptional and I regret that I have forgotten his name. Only negative was the food on the SFO/LHR leg. The advertised filet steak was more akin to stewing steak and was inedible. Sadly this is not the only occasion I have food on US/UK flights to be sub standard. Otherwise happy to recommend BA.",   four very pleasant on time flights with friendly helpful staff the guy on the lhrsfo leg was exceptional and i regret that i have forgotten his name only negative was the food on the sfolhr leg the advertised filet steak was more akin to stewing steak and was inedible sadly this is not the only occasion i have food on usuk flights to be sub standard otherwise happy to recommend ba,0.2495,Positive
"Not Verified |   We travel extensively over 25 years and tend to use BA on our regular trips where possible and in recent years we have had overall good service from them however more recently we have experienced flight delays, operational issues, flight cancellations, poor check-in experiences etc. On our last two recent trips, one to Zurich and another to Iceland they had cancelled our return flight an hour or so prior to the scheduled departure time despite the flight showing as on time and no problems being reported. We have just returned from Iceland and our experience was one of the worst we have ever had with BA. Again our flight was just cancelled due to operational reasons but what made matters worse on this occasion was the flight was quite early at 7:45am. We went to bed at around 11pm (night before), checked the flight and it showed as being on time with again no issues being reported so we went to sleep fairly rest assured the the flight would be fine. We woke up at 5:30am and then discovered our flight had been cancelled without any warning! We were then left with virtually no other return flight options for that day. It soon got worse as the earliest flight option then being offered by BA was 3 days later! We opted to choose Tuesday with BA as we were left with no other option! If we hadn't acted quickly the Tuesday availability was sure to sell out leaving us with a return option of Wednesday onwards having experienced the same problem with BA in Zurich back in December. We were lucky on this occasion as BA offered several flights back on the same day in Zurich but this wasn't the case with Iceland! We were then left in a right predicament as hotel availability in Iceland was very limited to non existent given the very short notice of our cancelled flight. Our hotel was fully booked and our hire car had to be returned to the airport. From a logistical point of view this was a complete nightmare having to then rebook another hire car and to find alternative hotels. We then decided to search for any in-direct flights online to get us back to the UK sooner with another airline and after a good half hour of searching we came across an in-direct flight into Gatwick with Norwegian Air but it went via Oslo and a total journey time of 8 hours! This was not ideal as our car was in Heathrow! Assessing our options which were virtually none, we had no guarantees that the flight with BA on Tuesday would also have proceeded on time and checking with Norwegian Air both flights were on time and looked promising so we decided to get these booked at an additional expense of £600! If we had stayed in Iceland we would have also incurred additional cost to then fight back with BA or the insurance company. Our priority was to return home ASAP as we had important work and personal commitments on the Monday so we had to return ASAP. We eventually flew back fine with Norwegian Air and the service we received was far superior to that of BA. The boarding process was slick on both flights compared to a complete shambles with BA. Norwegian Air offered a full food trolley service with soft drinks, tea's and also a range of alcoholic drinks. Compare this to just the water and snack bar on BA!! Both flights were on time and we eventually landed in Gatwick shortly after our expected arrival time. We got back very late home after having to then book a hire car at Gatwick and in the morning we contacted BA to cancel our alternative Tuesday flight ",    we travel extensively over  years and tend to use ba on our regular trips where possible and in recent years we have had overall good service from them however more recently we have experienced flight delays operational issues flight cancellations poor checkin experiences etc on our last two recent trips one to zurich and another to iceland they had cancelled our return flight an hour or so prior to the scheduled departure time despite the flight showing as on time and no problems being reported we have just returned from iceland and our experience was one of the worst we have ever had with ba again our flight was just cancelled due to operational reasons but what made matters worse on this occasion was the flight was quite early at am we went to bed at around pm night before checked the flight and it showed as being on time with again no issues being reported so we went to sleep fairly rest assured the the flight would be fine we woke up at am and then discovered our flight had been cancelled without any warning we were then left with virtually no other return flight options for that day it soon got worse as the earliest flight option then being offered by ba was  days later we opted to choose tuesday with ba as we were left with no other option if we hadnt acted quickly the tuesday availability was sure to sell out leaving us with a return option of wednesday onwards having experienced the same problem with ba in zurich back in december we were lucky on this occasion as ba offered several flights back on the same day in zurich but this wasnt the case with iceland we were then left in a right predicament as hotel availability in iceland was very limited to non existent given the very short notice of our cancelled flight our hotel was fully booked and our hire car had to be returned to the airport from a logistical point of view this was a complete nightmare having to then rebook another hire car and to find alternative hotels we then decided to search for any indirect flights online to get us back to the uk sooner with another airline and after a good half hour of searching we came across an indirect flight into gatwick with norwegian air but it went via oslo and a total journey time of  hours this was not ideal as our car was in heathrow assessing our options which were virtually none we had no guarantees that the flight with ba on tuesday would also have proceeded on time and checking with norwegian air both flights were on time and looked promising so we decided to get these booked at an additional expense of £ if we had stayed in iceland we would have also incurred additional cost to then fight back with ba or the insurance company our priority was to return home asap as we had important work and personal commitments on the monday so we had to return asap we eventually flew back fine with norwegian air and the service we received was far superior to that of ba the boarding process was slick on both flights compared to a complete shambles with ba norwegian air offered a full food trolley service with soft drinks teas and also a range of alcoholic drinks compare this to just the water and snack bar on ba both flights were on time and we eventually landed in gatwick shortly after our expected arrival time we got back very late home after having to then book a hire car at gatwick and in the morning we contacted ba to cancel our alternative tuesday flight ,0.07286446886446886,Positive
✅ Trip Verified |  A very full flight made Premium Economy feel a little less premium than you should expect for the price however the smaller cabin configuration and slightly roomier seating made the journey relaxing enough. Catering was pretty good and the inflight service was efficient and friendly. Arrived on time and no delays with baggage delivery. No complaints as PE served it's function for the relatively short 7.5hr flight.,   a very full flight made premium economy feel a little less premium than you should expect for the price however the smaller cabin configuration and slightly roomier seating made the journey relaxing enough catering was pretty good and the inflight service was efficient and friendly arrived on time and no delays with baggage delivery no complaints as pe served its function for the relatively short hr flight,0.12591666666666665,Positive
"✅ Trip Verified |  I am surprised to be able to give a favourable review of the flight. European Business Class is typically 3x3 seating with the middle seat on each group of three left empty. Leg room is never generous and BA is at the bottom of the generous barrel in this respect. However, on this occasion at least and as the flight is one hour that was not an issue. Cabin crew were great, very professional and efficient, cabin was clean and aircraft seemed pretty up to date. I was surprised to find that business class was served an 'afternoon tea' complete with champagne (much nicer than the poor Prosecco in the lounge). We had three small sandwiches, chocolate cake and a choice of plain or fruit scone. Strawberry jam and clotted cream on the side for those who wanted them. It all tasted great, I didn't try the chocolate cake, and there was just about enough time to eat it before landing. The crew worked very hard to complete service in time so well done them.",   i am surprised to be able to give a favourable review of the flight european business class is typically x seating with the middle seat on each group of three left empty leg room is never generous and ba is at the bottom of the generous barrel in this respect however on this occasion at least and as the flight is one hour that was not an issue cabin crew were great very professional and efficient cabin was clean and aircraft seemed pretty up to date i was surprised to find that business class was served an afternoon tea complete with champagne much nicer than the poor prosecco in the lounge we had three small sandwiches chocolate cake and a choice of plain or fruit scone strawberry jam and clotted cream on the side for those who wanted them it all tasted great i didnt try the chocolate cake and there was just about enough time to eat it before landing the crew worked very hard to complete service in time so well done them,0.07438852813852816,Positive
"✅ Trip Verified |  Flew British Airways on BA 434 London Heathrow to Amsterdam. I was able to check in at the BA First Class check in area in Terminal 5 and this is very fast and efficient. The lounge was quite busy; however, I was able to find space. The food, snacks, and drinks available was excellent as was the overall service. I also like the BA First Class Check in area as the security clearance is fast. Boarding was a little chaotic, however we boarded on time and the take off runway was close to the departing gate, therefore no delays. The flight itself was quite good as was the cabin crew and the meal service.",   flew british airways on ba  london heathrow to amsterdam i was able to check in at the ba first class check in area in terminal  and this is very fast and efficient the lounge was quite busy however i was able to find space the food snacks and drinks available was excellent as was the overall service i also like the ba first class check in area as the security clearance is fast boarding was a little chaotic however we boarded on time and the take off runway was close to the departing gate therefore no delays the flight itself was quite good as was the cabin crew and the meal service,0.3055769230769231,Positive
